OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,M,N,K
linear,0.08953599880139033,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,16.7,8.35,167,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,58,39,10635
linear,0.23662933707237244,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,16.6,8.3,166,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,19,190,10619
linear,0.2051839977502823,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,222.4,27.8,278,2,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,221,66,8878
linear,0.4039040009180705,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,41.7,20.85,139,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,158,187,8846
linear,0.3309333324432373,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,57.6,28.8,192,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,184,108,12281
linear,0.4549333353837331,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,46.5,23.25,465,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,53,182,29701
linear,0.31355733672777814,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,271.6,33.95,679,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,80,122,21709
linear,0.39560533563296,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,215.2,26.9,538,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,91,212,17197
linear,0.7613866726557413,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,93.4,46.7,467,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,92,171,29876
linear,0.36893866459528607,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,270.4,33.8,676,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,128,137,21601
linear,0.3309120039145152,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,27.6,13.8,276,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,56,196,17653
linear,0.6176000038782755,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,573.6,71.7,717,2,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,241,114,22924
linear,0.9391573468844095,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,660.0,82.5,825,2,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,236,180,26385
linear,0.2379520038763682,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,214.8,26.85,537,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,117,115,17160
linear,0.5529706875483195,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,339.6,42.45,849,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,99,205,27141
